objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mendieta001,AM.1980_miscephemera_dialeticsofisolation.jpg,,Typewritten introduction to Dialectics of Isolation: Third World Women Artists of the United States,image/jpeg,"A typewritten introduction by Ana Mendieta introducing Dialectics of Isolation: An Exhibition of Third World Women Artists, an A.I.R. exhibition from 1980. The exhibition was curated by Mendieta and Kazuko and Zarina Hashimi.",Ana Mendieta; Artists in Residence (A.I.R.) Gallery,,1980,yes,single-page; photographs,"Mendieta, Ana, 1948-1985; Feminism in art",,,,,The Feminist Institute,https://www.thefeministinstitute.org/ephemera?id=604,,,AM.1980_miscephemera_dialeticsofisolation,"In Copyright. Digitized as part of a partnership between A.I.R. Gallery and The Feminist Institute, 2022.",https://rightsstatements.org/page/InC/1.0/?language=en,Image;Still Image,eng,
mendieta002,AM.1987_images_retrospectiveinstallation_001.jpg,,"Installation view 1: Ana Mendieta: A Retrospective, New Museum, New York, 1987",image/jpeg,"35mm slide photograph taken at Ana Mendieta: A Retrospective by Fred Scruton. An installation view of several works by Mendieta, including sculptures and large drawings. ",Fred Scruton; The New Museum of Contemporary Art,,1987,yes,single-page; photographs,"Mendieta, Ana, 1948-1985; Installations (Art)--United States--Exhibitions; Feminism in art",,,,,The New Museum Archives,https://archive.newmuseum.org/images/3257,,,AM.1987_images_retrospectiveinstallation_001,Copyright undetermined.,https://rightsstatements.org/page/UND/1.0/?language=en,Image;Still Image,eng,
mendieta003,AM.1987_images_retrospectiveinstallation_003.jpg,,"Works from the Silueta Series, 1973-80
",image/jpeg,"35mm slide photograph taken at Ana Mendieta: A Retrospective by Fred Scruton. Features eight color photographs of several works in Mendieta's Silueta Series (1973-80), on display at the New Museum in 1987.",Fred Scruton; The New Museum of Contemporary Art,,1987,yes,single-page; photographs,"Mendieta, Ana, 1948-1985; Installations (Art)--United States--Exhibitions; Feminism in art",,,,,The New Museum Archives,https://archive.newmuseum.org/images/3261,,,AM.1987_images_retrospectiveinstallation_003,Copyright undetermined.,https://rightsstatements.org/page/UND/1.0/?language=en,Image;Still Image,eng,
mendieta004,AM.1987_images_retrospectiveinstallation_005.jpg,,"Rites and Rituals of Initiation (Ritos y rituales de iniciación), 1978",image/jpeg,"35mm slide photograph taken at Ana Mendieta: A Retrospective by Fred Scruton. Features sculptures and two-dimensional works from Rites and Rituals of Initiation (Ritos y rituales de iniciación) (1978), on display at the New Museum in 1987.",Fred Scruton; The New Museum of Contemporary Art,,1987,yes,single-page; photographs,"Mendieta, Ana, 1948-1985; Installations (Art)--United States--Exhibitions; Feminism in art",,,,,The New Museum Archives,https://archive.newmuseum.org/images/3267,,,AM.1987_images_retrospectiveinstallation_005,Copyright undetermined.,https://rightsstatements.org/page/UND/1.0/?language=en,Image;Still Image,eng,
mendieta005,AM.1987_images_retrospectiveinstallation_006.jpg,,"Body Tracks (Rastros corporales), 1982",image/jpeg,"35mm slide photograph taken at Ana Mendieta: A Retrospective by Fred Scruton. Features two-dimensional painted works in color from Body Tracks (Rastros corporales) (1982), on display at the New Museum in 1987.",Fred Scruton; The New Museum of Contemporary Art,,1987,yes,single-page; photographs,"Mendieta, Ana, 1948-1985; Installations (Art)--United States--Exhibitions; Feminism in art",,,,,The New Museum Archives,https://archive.newmuseum.org/images/3268,,,AM.1987_images_retrospectiveinstallation_006,Copyright undetermined.,https://rightsstatements.org/page/UND/1.0/?language=en,Image;Still Image,eng,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
